id,archetype,file
resp_62136,mixed,dummy_data/resp_62136.json
resp_62308,rajas,dummy_data/resp_62308.json
resp_55461,sattva,dummy_data/resp_55461.json
resp_34758,tamas,dummy_data/resp_34758.json
resp_32760,sattva,dummy_data/resp_32760.json
resp_76052,tamas,dummy_data/resp_76052.json
resp_34703,rajas,dummy_data/resp_34703.json
resp_88622,sattva,dummy_data/resp_88622.json
resp_77992,rajas,dummy_data/resp_77992.json
resp_71349,rajas,dummy_data/resp_71349.json
resp_43309,rajas,dummy_data/resp_43309.json
resp_67640,tamas,dummy_data/resp_67640.json
resp_52973,mixed,dummy_data/resp_52973.json
resp_25891,mixed,dummy_data/resp_25891.json
resp_12858,tamas,dummy_data/resp_12858.json
resp_30389,rajas,dummy_data/resp_30389.json
resp_51494,tamas,dummy_data/resp_51494.json
resp_87786,sattva,dummy_data/resp_87786.json
resp_31255,mixed,dummy_data/resp_31255.json
resp_74806,tamas,dummy_data/resp_74806.json
resp_20391,mixed,dummy_data/resp_20391.json
resp_34868,tamas,dummy_data/resp_34868.json
resp_12332,tamas,dummy_data/resp_12332.json
resp_23647,sattva,dummy_data/resp_23647.json
resp_77483,sattva,dummy_data/resp_77483.json
resp_18535,rajas,dummy_data/resp_18535.json
resp_64105,tamas,dummy_data/resp_64105.json
resp_82857,mixed,dummy_data/resp_82857.json
resp_59494,rajas,dummy_data/resp_59494.json
resp_15648,mixed,dummy_data/resp_15648.json
resp_74598,rajas,dummy_data/resp_74598.json
resp_54196,mixed,dummy_data/resp_54196.json
resp_40573,rajas,dummy_data/resp_40573.json
resp_50888,tamas,dummy_data/resp_50888.json
resp_13912,rajas,dummy_data/resp_13912.json
resp_61265,rajas,dummy_data/resp_61265.json
resp_14105,sattva,dummy_data/resp_14105.json
resp_76455,sattva,dummy_data/resp_76455.json
resp_40532,tamas,dummy_data/resp_40532.json
resp_74252,tamas,dummy_data/resp_74252.json
resp_86106,tamas,dummy_data/resp_86106.json
resp_69622,rajas,dummy_data/resp_69622.json
resp_34855,rajas,dummy_data/resp_34855.json
resp_37246,mixed,dummy_data/resp_37246.json
resp_59554,sattva,dummy_data/resp_59554.json
resp_62173,sattva,dummy_data/resp_62173.json
resp_63292,sattva,dummy_data/resp_63292.json
resp_67537,tamas,dummy_data/resp_67537.json
resp_91733,tamas,dummy_data/resp_91733.json
resp_26490,sattva,dummy_data/resp_26490.json
resp_64728,rajas,dummy_data/resp_64728.json
resp_95481,sattva,dummy_data/resp_95481.json
resp_35655,mixed,dummy_data/resp_35655.json
resp_90638,tamas,dummy_data/resp_90638.json
resp_67302,mixed,dummy_data/resp_67302.json
resp_11106,tamas,dummy_data/resp_11106.json
resp_68153,rajas,dummy_data/resp_68153.json
resp_59635,rajas,dummy_data/resp_59635.json
resp_21435,mixed,dummy_data/resp_21435.json
resp_21381,rajas,dummy_data/resp_21381.json
resp_40645,sattva,dummy_data/resp_40645.json
resp_17662,tamas,dummy_data/resp_17662.json
resp_34523,mixed,dummy_data/resp_34523.json
resp_28676,tamas,dummy_data/resp_28676.json
resp_18920,mixed,dummy_data/resp_18920.json
resp_38541,rajas,dummy_data/resp_38541.json
resp_93949,mixed,dummy_data/resp_93949.json
resp_65040,rajas,dummy_data/resp_65040.json
resp_59522,mixed,dummy_data/resp_59522.json
resp_75939,tamas,dummy_data/resp_75939.json
resp_32606,tamas,dummy_data/resp_32606.json
resp_43814,rajas,dummy_data/resp_43814.json
resp_54352,rajas,dummy_data/resp_54352.json
resp_86772,rajas,dummy_data/resp_86772.json
resp_75884,mixed,dummy_data/resp_75884.json
resp_86586,mixed,dummy_data/resp_86586.json
resp_95522,tamas,dummy_data/resp_95522.json
resp_56071,tamas,dummy_data/resp_56071.json
resp_69835,mixed,dummy_data/resp_69835.json
resp_65926,mixed,dummy_data/resp_65926.json
resp_26767,rajas,dummy_data/resp_26767.json
resp_17077,sattva,dummy_data/resp_17077.json
resp_22284,tamas,dummy_data/resp_22284.json
resp_14032,rajas,dummy_data/resp_14032.json
resp_18224,tamas,dummy_data/resp_18224.json
resp_12572,sattva,dummy_data/resp_12572.json
resp_31474,tamas,dummy_data/resp_31474.json
resp_76430,tamas,dummy_data/resp_76430.json
resp_60070,mixed,dummy_data/resp_60070.json
resp_49266,mixed,dummy_data/resp_49266.json
resp_22960,sattva,dummy_data/resp_22960.json
resp_30686,mixed,dummy_data/resp_30686.json
resp_68771,tamas,dummy_data/resp_68771.json
resp_14326,sattva,dummy_data/resp_14326.json
resp_71512,mixed,dummy_data/resp_71512.json
